고유 번호,자격구분코드,자격구분명,계열명,종목명,상세분야,언어,버전,급수,공통유무
1,S,국가전문자격,세무사,세무사,,,,,
2,S,국가전문자격,관세사,관세사,,,,,
3,S,국가전문자격,관광통역안내사,관광통역안내사,,영어,,,
4,S,국가전문자격,국내여행안내사,국내여행안내사,,,,,
5,S,국가전문자격,호텔경영사,호텔경영사,,,,,
6,S,국가전문자격,호텔관리사,호텔관리사,,,,,
7,S,국가전문자격,관광통역안내사,관광통역안내사,,불어,,,
8,S,국가전문자격,정수시설운영관리사,정수시설운영관리사,,,,3급,
9,S,국가전문자격,정수시설운영관리사,정수시설운영관리사,,,,2급,
10,S,국가전문자격,정수시설운영관리사,정수시설운영관리사,,,,1급,
11,S,국가전문자격,경비지도사,기계경비지도사,,,,,
12,S,국가전문자격,경비지도사,일반경비지도사,,,,,
13,S,국가전문자격,국가유산수리기술자,국가유산수리기술자,식물보호,,,,
14,S,국가전문자격,국가유산수리기술자,국가유산수리기술자,보존과학,,,,
15,S,국가전문자격,관광통역안내사,관광통역안내사,,독어,,,
16,S,국가전문자격,관광통역안내사,관광통역안내사,,스페인어,,,
17,S,국가전문자격,관광통역안내사,관광통역안내사,,러시아어,,,
18,S,국가전문자격,검량사,검량사,,,,,
19,S,국가전문자격,감정사,감정사,,,,,
20,S,국가전문자격,관광통역안내사,관광통역안내사,,일본어,,,
21,S,국가전문자격,한국어교육능력검정시험,한국어교육능력검정시험,,,,,
22,S,국가전문자격,국가유산수리기술자,국가유산수리기술자,조경,,,,
23,S,국가전문자격,국가유산수리기술자,국가유산수리기술자,실측설계,,,,
24,S,국가전문자격,국가유산수리기술자,국가유산수리기술자,보수,,,,
25,S,국가전문자격,국가유산수리기술자,국가유산수리기술자,단청,,,,
26,S,국가전문자격,가맹거래사,가맹거래사,,,,,
27,S,국가전문자격,박물관 및 미술관 준학예사,박물관및미술관준학예사,,,,,
28,S,국가전문자격,사회복지사 1급,사회복지사,,,,1급,
29,S,국가전문자격,변리사,변리사,,,,,
30,S,국가전문자격,방사성동위원소취급자일반면허,방사성동위원소취급자일반면허,,,,,
31,S,국가전문자격,공인노무사,공인노무사,,,,,
