자격구분코드,자격구분명,계열명,종목명,상세분야,언어,버전,급수,공통유무
S,국가전문자격,세무사,세무사,,,,,
S,국가전문자격,관세사,관세사,,,,,
S,국가전문자격,관광통역안내사,관광통역안내사,,영어,,,
S,국가전문자격,국내여행안내사,국내여행안내사,,,,,
S,국가전문자격,호텔경영사,호텔경영사,,,,,
S,국가전문자격,호텔관리사,호텔관리사,,,,,
S,국가전문자격,관광통역안내사,관광통역안내사,,불어,,,
S,국가전문자격,정수시설운영관리사,정수시설운영관리사,,,,3급,
S,국가전문자격,정수시설운영관리사,정수시설운영관리사,,,,2급,
S,국가전문자격,정수시설운영관리사,정수시설운영관리사,,,,1급,
S,국가전문자격,경비지도사,기계경비지도사,,,,,
S,국가전문자격,경비지도사,일반경비지도사,,,,,
S,국가전문자격,국가유산수리기술자,국가유산수리기술자,식물보호,,,,
S,국가전문자격,국가유산수리기술자,국가유산수리기술자,보존과학,,,,
S,국가전문자격,관광통역안내사,관광통역안내사,,독어,,,
S,국가전문자격,관광통역안내사,관광통역안내사,,스페인어,,,
S,국가전문자격,관광통역안내사,관광통역안내사,,러시아어,,,
S,국가전문자격,검량사,검량사,,,,,
S,국가전문자격,감정사,감정사,,,,,
S,국가전문자격,관광통역안내사,관광통역안내사,,일본어,,,
S,국가전문자격,한국어교육능력검정시험,한국어교육능력검정시험,,,,,
S,국가전문자격,국가유산수리기술자,국가유산수리기술자,조경,,,,
S,국가전문자격,국가유산수리기술자,국가유산수리기술자,실측설계,,,,
S,국가전문자격,국가유산수리기술자,국가유산수리기술자,보수,,,,
S,국가전문자격,국가유산수리기술자,국가유산수리기술자,단청,,,,
S,국가전문자격,가맹거래사,가맹거래사,,,,,
S,국가전문자격,박물관 및 미술관 준학예사,박물관및미술관준학예사,,,,,
S,국가전문자격,사회복지사 1급,사회복지사,,,,1급,
S,국가전문자격,변리사,변리사,,,,,
S,국가전문자격,방사성동위원소취급자일반면허,방사성동위원소취급자일반면허,,,,,
S,국가전문자격,공인노무사,공인노무사,,,,,
S,국가전문자격,물류관리사,물류관리사,,,,,
S,국가전문자격,농산물품질관리사,농산물품질관리사,,,,,
S,국가전문자격,주택관리사보,주택관리사보,,,,,
S,국가전문자격,소방시설관리사,소방시설관리사,,,,,
S,국가전문자격,소방안전교육사,소방안전교육사,,,,,
S,국가전문자격,공인중개사,공인중개사,,,,,
S,국가전문자격,경영지도사,경영지도사,,,,,1차공통
S,국가전문자격,기술지도사,기술지도사,,,,,1차공통
S,국가전문자격,검수사,검수사,,,,,
S,국가전문자격,관광통역안내사,관광통역안내사,,중국어,,,
S,국가전문자격,호텔서비스사,호텔서비스사,,,,,
S,국가전문자격,방사성동위원소취급자특수면허,방사성동위원소취급자특수면허,,,,,
S,국가전문자격,방사선취급감독자면허,방사선취급감독자면허,,,,,
S,국가전문자격,경영지도사,경영지도사,인적자원관리,,,,
S,국가전문자격,경영지도사,경영지도사,재무관리,,,,
S,국가전문자격,경영지도사,경영지도사,생산관리,,,,
S,국가전문자격,경영지도사,경영지도사,마케팅,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,대목수,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,소목수,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,가공석공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,쌓기석공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,화공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,드잡이공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,번와와공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,제작와공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,한식미장공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,철물공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,목조각공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,석조각공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,칠공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,도금공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,표구공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,조경공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,세척공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,보존처리공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,식물보호공,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,실측설계사보,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,박제및표본제작공,,,,
S,국가전문자격,감정평가사,감정평가사,,,,,
S,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,훈증공,,,,
T,국가기술자격,기능사,도자공예기능사,,,,,
T,국가기술자격,기능사,중식조리기능사,,,,,
T,국가기술자격,기능사,복어조리기능사,,,,,
T,국가기술자격,기능사,조주기능사,,,,,
T,국가기술자격,기능사,피아노조율기능사,,,,,
T,국가기술자격,기능사,이용사,,,,,
T,국가기술자격,기능사,한식조리기능사,,,,,
T,국가기술자격,기능사,양식조리기능사,,,,,
T,국가기술자격,기능사,일식조리기능사,,,,,
T,국가기술자격,기능사,신발제조기능사,,,,,
T,국가기술자격,기능사,환경기능사,,,,,
T,국가기술자격,기능사,콘크리트기능사,,,,,
T,국가기술자격,기능사,자기비파괴검사기능사,,,,,
T,국가기술자격,기능사,침투비파괴검사기능사,,,,,
T,국가기술자격,기능사,한복기능사,,,,,
T,국가기술자격,기능사,정보기기운용기능사,,,,,
T,국가기술자격,기능사,선체설계기능사,,,,,
T,국가기술자격,기능사,선체건조기능사,,,,,
T,국가기술자격,기능사,염색기능사,침염,,,,
T,국가기술자격,기능사,정보처리기능사,,,,,
T,국가기술자격,기능사,염색기능사,날염,,,,
T,국가기술자격,기능사,석공기능사,,,,,
T,국가기술자격,기능사,철도토목기능사,,,,,
T,국가기술자격,기능사,전자계산기기능사,,,,,
T,국가기술자격,기능사,화학분석기능사,,,,,
T,국가기술자격,기능사,도배기능사,,,,,
T,국가기술자격,기능사,전자기능사,,,,,
T,국가기술자격,기능사,타일기능사,,,,,
T,국가기술자격,기능사,건축도장기능사,,,,,
T,국가기술자격,기능사,석공예기능사,,,,,
T,국가기술자격,기능사,유리시공기능사,,,,,
T,국가기술자격,기능사,실내건축기능사,,,,,
T,국가기술자격,기능사,온수온돌기능사,,,,,
T,국가기술자격,기능사,거푸집기능사,,,,,
T,국가기술자격,기능사,비계기능사,,,,,
T,국가기술자격,기능사,귀금속가공기능사,,,,,
T,국가기술자격,기능사,방사선비파괴검사기능사,,,,,
T,국가기술자격,기능사,항공사진기능사,,,,,
T,국가기술자격,기능사,지도제작기능사,,,,,
T,국가기술자격,기능사,초음파비파괴검사기능사,,,,,
T,국가기술자격,기능사,건설재료시험기능사,,,,,
T,국가기술자격,기능사,가구제작기능사,,,,,
T,국가기술자격,기능사,금속도장기능사,,,,,
T,국가기술자격,기능사,제과기능사,,,,,
T,국가기술자격,기능사,제빵기능사,,,,,
