고유 번호,자격구분명,계열명,종목명,상세분야,언어,급수
1,국가전문자격,세무사,세무사,,,
2,국가전문자격,관세사,관세사,,,
3,국가전문자격,관광통역안내사,관광통역안내사,,영어,
4,국가전문자격,국내여행안내사,국내여행안내사,,,
5,국가전문자격,호텔경영사,호텔경영사,,,
6,국가전문자격,호텔관리사,호텔관리사,,,
7,국가전문자격,관광통역안내사,관광통역안내사,,불어,
8,국가전문자격,정수시설운영관리사,정수시설운영관리사,,,3급
9,국가전문자격,정수시설운영관리사,정수시설운영관리사,,,2급
10,국가전문자격,정수시설운영관리사,정수시설운영관리사,,,1급
11,국가전문자격,경비지도사,기계경비지도사,,,
12,국가전문자격,경비지도사,일반경비지도사,,,
13,국가전문자격,국가유산수리기술자,국가유산수리기술자,식물보호,,
14,국가전문자격,국가유산수리기술자,국가유산수리기술자,보존과학,,
15,국가전문자격,관광통역안내사,관광통역안내사,,독어,
16,국가전문자격,관광통역안내사,관광통역안내사,,스페인어,
17,국가전문자격,관광통역안내사,관광통역안내사,,러시아어,
18,국가전문자격,검량사,검량사,,,
19,국가전문자격,감정사,감정사,,,
20,국가전문자격,관광통역안내사,관광통역안내사,,일본어,
21,국가전문자격,한국어교육능력검정시험,한국어교육능력검정시험,,,
22,국가전문자격,국가유산수리기술자,국가유산수리기술자,조경,,
23,국가전문자격,국가유산수리기술자,국가유산수리기술자,실측설계,,
24,국가전문자격,국가유산수리기술자,국가유산수리기술자,보수,,
25,국가전문자격,국가유산수리기술자,국가유산수리기술자,단청,,
26,국가전문자격,가맹거래사,가맹거래사,,,
27,국가전문자격,박물관 및 미술관 준학예사,박물관및미술관준학예사,,,
28,국가전문자격,사회복지사 1급,사회복지사,,,1급
29,국가전문자격,변리사,변리사,,,
30,국가전문자격,방사성동위원소취급자일반면허,방사성동위원소취급자일반면허,,,
31,국가전문자격,공인노무사,공인노무사,,,
32,국가전문자격,물류관리사,물류관리사,,,
33,국가전문자격,농산물품질관리사,농산물품질관리사,,,
34,국가전문자격,주택관리사보,주택관리사보,,,
35,국가전문자격,소방시설관리사,소방시설관리사,,,
36,국가전문자격,소방안전교육사,소방안전교육사,,,
37,국가전문자격,공인중개사,공인중개사,,,
38,국가전문자격,경영지도사,경영지도사,,,
39,국가전문자격,기술지도사,기술지도사,,,
40,국가전문자격,검수사,검수사,,,
41,국가전문자격,관광통역안내사,관광통역안내사,,중국어,
42,국가전문자격,호텔서비스사,호텔서비스사,,,
43,국가전문자격,방사성동위원소취급자특수면허,방사성동위원소취급자특수면허,,,
44,국가전문자격,방사선취급감독자면허,방사선취급감독자면허,,,
45,국가전문자격,경영지도사,경영지도사,인적자원관리,,
46,국가전문자격,경영지도사,경영지도사,재무관리,,
47,국가전문자격,경영지도사,경영지도사,생산관리,,
48,국가전문자격,경영지도사,경영지도사,마케팅,,
49,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,대목수,,
50,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,소목수,,
51,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,가공석공,,
52,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,쌓기석공,,
53,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,화공,,
54,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,드잡이공,,
55,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,번와와공,,
56,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,제작와공,,
57,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,한식미장공,,
58,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,철물공,,
59,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,목조각공,,
60,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,석조각공,,
61,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,칠공,,
62,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,도금공,,
63,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,표구공,,
64,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,조경공,,
65,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,세척공,,
66,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,보존처리공,,
67,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,식물보호공,,
68,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,실측설계사보,,
69,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,박제및표본제작공,,
70,국가전문자격,감정평가사,감정평가사,,,
71,국가전문자격,국가유산수리기능자(24종목),국가유산수리기능자,훈증공,,
72,국가기술자격,기능사,도자공예기능사,,,
73,국가기술자격,기능사,중식조리기능사,,,
74,국가기술자격,기능사,복어조리기능사,,,
75,국가기술자격,기능사,조주기능사,,,
76,국가기술자격,기능사,피아노조율기능사,,,
